Data;ipca;BM;M1;M2;ln_BM;ln_M1;ln_M2
fev/10;0,78;161.879.063;234.288.145;1.168.268.490;18,90236009;19,2720623;20,87878857
mar/10;0,52;158.720.653;232.458.562;1.183.495.173;18,88265632;19,26422254;20,89173791
abr/10;0,57;160.329.327;234.236.600;1.179.396.787;18,89274055;19,27184227;20,88826895
mai/10;0,43;159.897.072;236.503.300;1.193.103.293;18,89004087;19,28147272;20,89982356
jun/10;0;162.050.904;239.622.402;1.213.647.686;18,90342107;19,29457492;20,91689628
jul/10;0,01;166.373.525;243.919.917;1.224.429.731;18,92974597;19,31235052;20,92574105
ago/10;0,04;168.625.377;245.762.694;1.248.586.797;18,94319011;19,31987697;20,94527819
set/10;0,45;172.969.214;253.042.067;1.280.552.635;18,96862418;19,34906631;20,97055757
out/10;0,75;176.942.359;257.797.436;1.292.953.330;18,99133458;19,3676847;20,98019484
nov/10;0,83;177.833.565;259.156.712;1.324.903.932;18,99635864;19,3729435;21,00460579
dez/10;0,63;197.388.288;285.495.051;1.387.911.551;19,10068335;19,46973525;21,05106597
jan/11;0,83;192.046.875;274.105.675;1.373.573.507;19,07325004;19,42902427;21,04068158
fev/11;0,8;183.876.931;263.102.101;1.393.166.332;19,02977724;19,38805273;21,05484493
mar/11;0,79;180.764.802;259.234.847;1.421.898.024;19,01270731;19,37324495;21,07525845
abr/11;0,77;179.925.547;257.909.268;1.429.732.032;19,0080537;19,36811841;21,08075287
mai/11;0,47;177.603.406;256.392.040;1.455.032.495;18,99506357;19,36221824;21,09829407
jun/11;0,15;180.025.717;257.942.770;1.483.845.139;19,00861027;19,3682483;21,11790262
jul/11;0,16;179.954.773;260.111.822;1.504.654.844;19,00821612;19,37662218;21,13182937
ago/11;0,37;179.719.736;257.132.582;1.530.671.978;19,00690917;19,36510239;21,14897268
set/11;0,53;184.276.398;260.862.382;1.564.422.897;19,03194735;19,37950355;21,17078284
out/11;0,43;185.470.716;263.204.853;1.571.741.588;19,03840756;19,3884432;21,17545013
nov/11;0,52;187.279.197;262.725.379;1.602.533.597;19,04811109;19,38661986;21,19485171
dez/11;0,5;205.977.180;287.282.888;1.649.901.271;19,14327594;19,47597796;21,22398129
jan/12;0,56;200.584.542;276.139.561;1.624.306.909;19,11674637;19,43641695;21,20834704
fev/12;0,45;194.553.012;268.141.408;1.630.953.144;19,08621524;19,40702504;21,21243043
mar/12;0,21;190.404.220;264.973.099;1.648.106.102;19,06465984;19,39513887;21,22289265
abr/12;0,64;189.578.149;265.800.884;1.643.620.310;19,06031189;19,39825803;21,22016715
mai/12;0,36;190.083.861;266.543.035;1.668.158.595;19,06297591;19,40104627;21,23498622
jun/12;0,08;192.526.427;270.999.075;1.691.859.070;19,07574399;19,41762597;21,2490938
jul/12;0,43;197.481.613;276.842.883;1.701.379.607;19,10115604;19,43896069;21,25470529
ago/12;0,41;196.988.272;274.315.205;1.717.369.610;19,09865475;19,42978839;21,26405966
set/12;0,57;205.554.893;283.327.559;1.737.700.016;19,14122368;19,46211424;21,27582825
out/12;0,59;206.024.936;284.544.283;1.742.734.111;19,14350777;19,46639945;21,27872105
nov/12;0,6;206.507.508;286.918.403;1.759.318.172;19,14584733;19,47470842;21,28819217
dez/12;0,79;230.868.943;321.521.526;1.792.891.488;19,25736076;19,58857505;21,30709551
jan/13;0,86;226.760.492;308.933.642;1.750.647.756;19,23940492;19,54863706;21,2832517
fev/13;0,6;214.946.577;298.958.073;1.749.820.224;19,18590008;19,5158139;21,28277889
mar/13;0,47;205.642.375;299.263.560;1.784.054.636;19,14164917;19,51683521;21,3021545
abr/13;0,55;206.047.994;299.465.983;1.781.381.964;19,14361968;19,51751139;21,30065528
mai/13;0,37;207.907.751;299.874.457;1.808.987.072;19,15260503;19,51887447;21,3160329
jun/13;0,26;204.153.238;306.171.339;1.847.726.382;19,13438144;19,53965543;21,33722174
jul/13;0,03;211.543.777;310.869.063;1.854.519.202;19,16994252;19,55488236;21,34089131
ago/13;0,24;212.978.046;307.668.388;1.874.736.680;19,17669965;19,5445331;21,35173405
set/13;0,35;214.964.511;313.981.031;1.892.308.996;19,18598351;19,56484313;21,36106361
out/13;0,57;217.019.194;313.096.998;1.903.729.843;19,19549636;19,5620236;21,36708087
